geoid,name,B19013001,"B19013001, Error"
01000US,United States,62843,135
05000US01001,"Autauga County, AL",58731,4410
05000US01003,"Baldwin County, AL",58320,1564
05000US01005,"Barbour County, AL",32525,2291
05000US01007,"Bibb County, AL",47542,5504
05000US01009,"Blount County, AL",49358,2136
05000US01011,"Bullock County, AL",37785,12122
05000US01013,"Butler County, AL",40688,2858
05000US01015,"Calhoun County, AL",47255,2090
05000US01017,"Chambers County, AL",42289,2979
05000US01019,"Cherokee County, AL",41919,2465
05000US01021,"Chilton County, AL",47468,2972
05000US01023,"Choctaw County, AL",35892,2854
05000US01025,"Clarke County, AL",37404,3257
05000US01027,"Clay County, AL",40845,6518
05000US01029,"Cleburne County, AL",44741,3847
05000US01031,"Coffee County, AL",55637,1849
05000US01033,"Colbert County, AL",48065,2746
05000US01035,"Conecuh County, AL",37837,3835
05000US01037,"Coosa County, AL",38990,4339
05000US01039,"Covington County, AL",42189,2667
05000US01041,"Crenshaw County, AL",43163,2743
05000US01043,"Cullman County, AL",44918,1921
05000US01045,"Dale County, AL",47214,2845
05000US01047,"Dallas County, AL",33845,1728
05000US01049,"DeKalb County, AL",40440,1676
05000US01051,"Elmore County, AL",60891,2952
05000US01053,"Escambia County, AL",36275,2972
05000US01055,"Etowah County, AL",44637,1878
05000US01057,"Fayette County, AL",39856,3370
05000US01059,"Franklin County, AL",43514,2096
05000US01061,"Geneva County, AL",41732,2831
05000US01063,"Greene County, AL",24145,6721
05000US01065,"Hale County, AL",34046,5341
05000US01067,"Henry County, AL",50017,3746
05000US01069,"Houston County, AL",47580,1033
05000US01071,"Jackson County, AL",41769,1158
05000US01073,"Jefferson County, AL",53901,642
05000US01075,"Lamar County, AL",38364,4154
05000US01077,"Lauderdale County, AL",48094,1834
05000US01079,"Lawrence County, AL",44886,2943
05000US01081,"Lee County, AL",51463,2221
05000US01083,"Limestone County, AL",59686,2190
05000US01085,"Lowndes County, AL",30036,4948
05000US01087,"Macon County, AL",33370,3502
05000US01089,"Madison County, AL",65449,1211
05000US01091,"Marengo County, AL",33241,4158
05000US01093,"Marion County, AL",35930,3370
05000US01095,"Marshall County, AL",45983,1454
05000US01097,"Mobile County, AL",47583,1060
05000US01099,"Monroe County, AL",30441,3305
05000US01101,"Montgomery County, AL",50124,985
05000US01103,"Morgan County, AL",52156,1613
05000US01105,"Perry County, AL",23447,2593
05000US01107,"Pickens County, AL",39848,3352
05000US01109,"Pike County, AL",37446,2508
05000US01111,"Randolph County, AL",43395,3406
05000US01113,"Russell County, AL",42443,2725
05000US01115,"St. Clair County, AL",58308,3222
05000US01117,"Shelby County, AL",77799,2248
05000US01119,"Sumter County, AL",24320,1881
05000US01121,"Talladega County, AL",41325,2101
05000US01123,"Tallapoosa County, AL",45828,3476
05000US01125,"Tuscaloosa County, AL",53326,1173
05000US01127,"Walker County, AL",43629,1841
05000US01129,"Washington County, AL",41370,3437
05000US01131,"Wilcox County, AL",31014,3634
05000US01133,"Winston County, AL",35788,3659
05000US02013,"Aleutians East Borough, AK",69250,5289
05000US02016,"Aleutians West Census Area, AK",87466,3206
05000US02020,"Anchorage Municipality, AK",84928,1508
05000US02050,"Bethel Census Area, AK",53553,3178
05000US02060,"Bristol Bay Borough, AK",79808,8316
05000US02068,"Denali Borough, AK",81719,13581
05000US02070,"Dillingham Census Area, AK",56898,5323
05000US02090,"Fairbanks North Star Borough, AK",76992,3115
05000US02100,"Haines Borough, AK",58059,11237
05000US02105,"Hoonah-Angoon Census Area, AK",59803,4266
05000US02110,"Juneau City and Borough, AK",88390,4059
05000US02122,"Kenai Peninsula Borough, AK",66064,2441
05000US02130,"Ketchikan Gateway Borough, AK",72728,3182
05000US02150,"Kodiak Island Borough, AK",85839,10160
05000US02158,"Kusilvak Census Area, AK",36754,4042
05000US02164,"Lake and Peninsula Borough, AK",44135,3686
05000US02170,"Matanuska-Susitna Borough, AK",75493,1614
05000US02180,"Nome Census Area, AK",61048,2210
05000US02185,"North Slope Borough, AK",79306,10108
05000US02188,"Northwest Arctic Borough, AK",60906,5036
05000US02195,"Petersburg Borough, AK",69948,7258
05000US02198,"Prince of Wales-Hyder Census Area, AK",52379,3924
05000US02220,"Sitka City and Borough, AK",73682,3705
05000US02230,"Skagway Municipality, AK",73906,6082
05000US02240,"Southeast Fairbanks Census Area, AK",70056,7473
05000US02261,"Valdez-Cordova Census Area, AK",79867,10958
05000US02275,"Wrangell City and Borough, AK",53894,6028
05000US02282,"Yakutat City and Borough, AK",71607,8538
05000US02290,"Yukon-Koyukuk Census Area, AK",41413,2359
05000US04001,"Apache County, AZ",32508,1723
05000US04003,"Cochise County, AZ",49260,1858
05000US04005,"Coconino County, AZ",59460,1953
05000US04007,"Gila County, AZ",43524,2214
05000US04009,"Graham County, AZ",51353,2121
05000US04011,"Greenlee County, AZ",63473,2899
05000US04012,"La Paz County, AZ",34643,4945
05000US04013,"Maricopa County, AZ",64468,326
05000US04015,"Mohave County, AZ",45587,1297
05000US04017,"Navajo County, AZ",40067,1628
05000US04019,"Pima County, AZ",53379,628
05000US04021,"Pinal County, AZ",58174,930
05000US04023,"Santa Cruz County, AZ",41259,2645
05000US04025,"Yavapai County, AZ",52451,1376
05000US04027,"Yuma County, AZ",45243,1279
05000US05001,"Arkansas County, AR",46696,2210
05000US05003,"Ashley County, AR",44744,4484
05000US05005,"Baxter County, AR",42260,2095
05000US05007,"Benton County, AR",66362,1292
05000US05009,"Boone County, AR",45374,1907
05000US05011,"Bradley County, AR",43184,4132
05000US05013,"Calhoun County, AR",46417,6659
05000US05015,"Carroll County, AR",46110,4165
05000US05017,"Chicot County, AR",34147,2071
05000US05019,"Clark County, AR",41620,3924
05000US05021,"Clay County, AR",37233,2550
05000US05023,"Cleburne County, AR",44483,2847
05000US05025,"Cleveland County, AR",46684,4507
05000US05027,"Columbia County, AR",36193,2784
05000US05029,"Conway County, AR",42802,3656
05000US05031,"Craighead County, AR",47286,2063
05000US05033,"Crawford County, AR",46828,2004
05000US05035,"Crittenden County, AR",40161,2116
05000US05037,"Cross County, AR",46787,4568
05000US05039,"Dallas County, AR",38072,6309
05000US05041,"Desha County, AR",31893,3470
