geoid,name,B19083001,"B19083001, Error"
05000US05011,"Bradley County, AR",0.451,0.0243
05000US05013,"Calhoun County, AR",0.4212,0.0278
05000US05015,"Carroll County, AR",0.4631,0.0421
05000US05017,"Chicot County, AR",0.5252,0.0401
05000US05019,"Clark County, AR",0.4319,0.0178
05000US05021,"Clay County, AR",0.4663,0.0273
05000US05023,"Cleburne County, AR",0.4501,0.0254
05000US05025,"Cleveland County, AR",0.4257,0.0251
05000US05027,"Columbia County, AR",0.4973,0.039
05000US05029,"Conway County, AR",0.4812,0.0347
05000US05031,"Craighead County, AR",0.4816,0.023
05000US05033,"Crawford County, AR",0.4477,0.0322
05000US05035,"Crittenden County, AR",0.4689,0.0155
05000US05037,"Cross County, AR",0.4593,0.0452
05000US05039,"Dallas County, AR",0.4249,0.0298
05000US05041,"Desha County, AR",0.4547,0.028
05000US05043,"Drew County, AR",0.4941,0.0398
05000US05045,"Faulkner County, AR",0.4674,0.0136
05000US05047,"Franklin County, AR",0.4533,0.0243
05000US05049,"Fulton County, AR",0.4256,0.0176
05000US05051,"Garland County, AR",0.4807,0.0207
05000US05053,"Grant County, AR",0.4471,0.0364
05000US05055,"Greene County, AR",0.4261,0.0183
05000US05057,"Hempstead County, AR",0.4199,0.0345
05000US05059,"Hot Spring County, AR",0.428,0.0293
05000US05061,"Howard County, AR",0.511,0.0388
05000US05063,"Independence County, AR",0.4561,0.0274
05000US05065,"Izard County, AR",0.4278,0.0509
05000US05067,"Jackson County, AR",0.501,0.0386
05000US05069,"Jefferson County, AR",0.4642,0.0178
05000US05071,"Johnson County, AR",0.4491,0.0234
05000US05073,"Lafayette County, AR",0.5807,0.0571
05000US05075,"Lawrence County, AR",0.4382,0.0226
05000US05077,"Lee County, AR",0.5049,0.0345
05000US05079,"Lincoln County, AR",0.4604,0.0398
05000US05081,"Little River County, AR",0.4494,0.0306
05000US05083,"Logan County, AR",0.4243,0.0215
05000US05085,"Lonoke County, AR",0.4161,0.0102
05000US05087,"Madison County, AR",0.4771,0.0347
05000US05089,"Marion County, AR",0.4416,0.0209
05000US05091,"Miller County, AR",0.466,0.0178
05000US05093,"Mississippi County, AR",0.4727,0.0225
05000US05095,"Monroe County, AR",0.4556,0.0268
05000US05097,"Montgomery County, AR",0.454,0.0335
05000US05099,"Nevada County, AR",0.4086,0.0284
05000US05101,"Newton County, AR",0.4307,0.0357
05000US05103,"Ouachita County, AR",0.4577,0.0228
05000US05105,"Perry County, AR",0.4132,0.0218
05000US05107,"Phillips County, AR",0.4944,0.0268
05000US05109,"Pike County, AR",0.4481,0.031
05000US05111,"Poinsett County, AR",0.4285,0.024
05000US05113,"Polk County, AR",0.492,0.0388
05000US05115,"Pope County, AR",0.4696,0.0178
05000US05117,"Prairie County, AR",0.4579,0.0276
05000US05119,"Pulaski County, AR",0.509,0.0073
05000US05121,"Randolph County, AR",0.4756,0.0326
05000US05123,"St. Francis County, AR",0.4908,0.0249
05000US05125,"Saline County, AR",0.399,0.0101
05000US05127,"Scott County, AR",0.4331,0.0237
05000US05129,"Searcy County, AR",0.4554,0.0411
05000US05131,"Sebastian County, AR",0.4691,0.0175
05000US05133,"Sevier County, AR",0.4595,0.0436
05000US05135,"Sharp County, AR",0.4769,0.0663
05000US05137,"Stone County, AR",0.4609,0.0394
05000US05139,"Union County, AR",0.47,0.0199
05000US05141,"Van Buren County, AR",0.4504,0.0212
05000US05143,"Washington County, AR",0.4851,0.0093
05000US05145,"White County, AR",0.4609,0.0173
05000US05147,"Woodruff County, AR",0.5001,0.0351
05000US05149,"Yell County, AR",0.4367,0.0329
05000US06001,"Alameda County, CA",0.4616,0.003
05000US06003,"Alpine County, CA",0.493,0.0676
05000US06005,"Amador County, CA",0.449,0.0281
05000US06007,"Butte County, CA",0.4944,0.0126
05000US06009,"Calaveras County, CA",0.4414,0.0199
05000US06011,"Colusa County, CA",0.4554,0.0303
05000US06013,"Contra Costa County, CA",0.4672,0.0039
05000US06015,"Del Norte County, CA",0.4743,0.0312
05000US06017,"El Dorado County, CA",0.4556,0.0092
05000US06019,"Fresno County, CA",0.4746,0.0046
05000US06021,"Glenn County, CA",0.4442,0.0181
05000US06023,"Humboldt County, CA",0.4841,0.0142
05000US06025,"Imperial County, CA",0.4704,0.013
05000US06027,"Inyo County, CA",0.4104,0.0227
05000US06029,"Kern County, CA",0.4668,0.0052
05000US06031,"Kings County, CA",0.4272,0.0141
05000US06033,"Lake County, CA",0.4817,0.0224
05000US06035,"Lassen County, CA",0.4171,0.0162
05000US06037,"Los Angeles County, CA",0.5002,0.0016
05000US06039,"Madera County, CA",0.4422,0.013
05000US06041,"Marin County, CA",0.5178,0.007
05000US06043,"Mariposa County, CA",0.4234,0.0183
05000US06045,"Mendocino County, CA",0.4704,0.0173
05000US06047,"Merced County, CA",0.4719,0.0116
05000US06049,"Modoc County, CA",0.4003,0.0219
05000US06051,"Mono County, CA",0.415,0.0402
05000US06053,"Monterey County, CA",0.457,0.0069
05000US06055,"Napa County, CA",0.4712,0.0105
05000US06057,"Nevada County, CA",0.4697,0.0148
05000US06059,"Orange County, CA",0.4685,0.003
05000US06061,"Placer County, CA",0.4467,0.0072
05000US06063,"Plumas County, CA",0.4667,0.0388
05000US06065,"Riverside County, CA",0.4572,0.0029
05000US06067,"Sacramento County, CA",0.4538,0.0036
05000US06069,"San Benito County, CA",0.4054,0.0149
05000US06071,"San Bernardino County, CA",0.4375,0.0033
05000US06073,"San Diego County, CA",0.4627,0.0027
05000US06075,"San Francisco County, CA",0.5099,0.004
05000US06077,"San Joaquin County, CA",0.4529,0.0061
05000US06079,"San Luis Obispo County, CA",0.4496,0.0065
05000US06081,"San Mateo County, CA",0.4849,0.0039
05000US06083,"Santa Barbara County, CA",0.4815,0.0061
05000US06085,"Santa Clara County, CA",0.4664,0.0025
05000US06087,"Santa Cruz County, CA",0.4819,0.0071
05000US06089,"Shasta County, CA",0.4588,0.0072
05000US06091,"Sierra County, CA",0.4594,0.0449
05000US06093,"Siskiyou County, CA",0.4772,0.0355
05000US06095,"Solano County, CA",0.4207,0.0089
05000US06097,"Sonoma County, CA",0.4536,0.0066
05000US06099,"Stanislaus County, CA",0.4396,0.006
05000US06101,"Sutter County, CA",0.453,0.0193
05000US06103,"Tehama County, CA",0.4656,0.0164
05000US06105,"Trinity County, CA",0.4638,0.0368
05000US06107,"Tulare County, CA",0.4728,0.0095
05000US06109,"Tuolumne County, CA",0.4832,0.0254
05000US06111,"Ventura County, CA",0.4455,0.0048
05000US06113,"Yolo County, CA",0.4928,0.0096
05000US06115,"Yuba County, CA",0.426,0.0147
05000US08001,"Adams County, CO",0.4052,0.0066
05000US08003,"Alamosa County, CO",0.487,0.0386
05000US08005,"Arapahoe County, CO",0.4522,0.0058
05000US08007,"Archuleta County, CO",0.4511,0.0325
05000US08009,"Baca County, CO",0.4562,0.0311
05000US08011,"Bent County, CO",0.4527,0.038
05000US08013,"Boulder County, CO",0.4848,0.0088
05000US08014,"Broomfield County, CO",0.4343,0.0151
05000US08015,"Chaffee County, CO",0.4231,0.0193
05000US08017,"Cheyenne County, CO",0.4367,0.039
05000US08019,"Clear Creek County, CO",0.4205,0.0282
05000US08021,"Conejos County, CO",0.4533,0.0402
05000US08023,"Costilla County, CO",0.4988,0.0376
